node,type,Coal and coal products,Primary oil,Oil products,Natural gas,Hydropower,Nuclear,Electricity,Heat,Solar PV,Wind,Waste,Biofuel,Other renewables
Indigenous production,source,184131299.0,190107840.0,,147061281.0,15308404.0,29919241.0,,63402.0,5776560.0,8399293.200000001,2663684.0,48296827.0,6469496.8
Imports,source,36315436.0,101187586.0,59221123.0,41328717.0,,,2869062.0,235.0,,,52088.0,547070.0,0.0
Exports,use,-36990523.0,-97957517.0,-58712693.0,-43162872.0,,,-2950699.0,-40.0,,,-1912.0,-320547.0,0.0
Stock changes,difference,-7508543.0,-336769.0,-1897395.0,-1081029.0,,,,,,,230.0,-13202.0,0.0
Statistical Differences,difference,-5460395.0,861940.0,-975800.0,32298.0,,,-332854.0,384306.0,,,1972.0,-240.0,3774.0
Electricity plants,intermediate,-77393830.0,-1626898.0,-5844401.0,-41157444.0,-15308404.0,-29896159.0,91752544.0,-26109.0,-5776560.0,-8399293.200000001,-971876.0,-5689635.0,-3630687.8
CHP plants,intermediate,-36165831.0,-71.0,-557426.0,-14432100.0,,-17863.0,16168786.0,13808447.0,,,-725803.0,-2726389.0,-108742.0
Heat plants,intermediate,-1393581.0,-22004.0,-485874.0,-2722964.0,,-5219.0,-48382.0,5016502.0,,,-249709.0,-378052.0,-842248.0
Gas works,intermediate,-1505295.0,,-120117.0,832292.0,,,,,,,,,
Coal transformation,intermediate,-11941311.0,,-99570.0,-2541.0,,,,,,,,,
Oil refineries,intermediate,,-183513776.0,179426068.0,,,,,,,,,,
Liquefaction plants,intermediate,-1178498.0,1109995.0,,-974629.0,,,,,,,,,
Other transformation,intermediate,-272339.0,2436707.0,-1771120.0,-1001036.0,,,,-23902.0,,,-3687.0,-6116014.0,-0.0
Energy industry own use,use,-3300421.0,-339638.0,-8947273.0,-13260523.0,,,-9006443.0,-2096588.0,,,-10015.0,-590631.0,-4087.0
Transmission and Distribution Losses,rejected,-61914.0,-318584.0,-8874.0,-1130807.0,,,-7547429.0,-1018463.0,,,24.0,3760.0,2277.0
Industry,use,29592001.0,76594.0,12589643.0,28137395.0,,,38622871.0,8522212.0,,,625526.0,10474261.0,18267.0
Transport,use,38858.0,2356.0,110780414.0,5523585.0,,,1825842.0,,,,0.0,220957.0,0.0
Residential,use,2006575.0,,8834399.0,19622987.0,,,24565124.0,5427468.0,,,0.0,20756815.0,1486203.0
Commercial and public services,use,797307.0,4.0,3052942.0,9026156.0,,,18436364.0,1693268.0,,,104075.0,973622.0,291704.0
Agriculture and forestry,use,397388.0,433.0,4636392.0,555481.0,,,3184604.0,150547.0,,,1817.0,522543.0,64327.0
Fishing,use,181.0,,279300.0,2705.0,,,38308.0,4745.0,,,0.0,288.0,10216.0
Other non-specified,use,629094.0,67.0,1168822.0,158959.0,,,4231467.0,309548.0,,,23533.0,56931.0,14512.0
Non-energy use,use,3484603.0,223858.0,30938765.0,7301368.0,,,,,,,0.0,0.0,0.0
